2014-06-02T19:41:14+00:00 CRIT (2): Not valid template file:frontend/base/default/template/page/html/homepage.phtml
2014-06-16T01:56:05+00:00 ERR (3): Notice: Undefined index:  items  in /Applications/MAMP/htdocs/create-adrenaline/app/code/core/Mage/Page/Block/Html/Head.php on line 167
2014-06-16T01:56:05+00:00 ERR (3): Warning: Invalid argument supplied for foreach()  in /Applications/MAMP/htdocs/create-adrenaline/app/code/core/Mage/Page/Block/Html/Head.php on line 167
2014-11-15T13:24:21+00:00 ERR (3): Warning: include(Enterprise/PageCache/Model/Cache.php): failed to open stream: No such file or directory  in /Applications/MAMP/htdocs/create-adrenaline/lib/Varien/Autoload.php on line 93
2014-11-15T13:24:21+00:00 ERR (3): Warning: include(): Failed opening 'Enterprise/PageCache/Model/Cache.php' for inclusion (include_path='/Applications/MAMP/htdocs/create-adrenaline/app/code/local:/Applications/MAMP/htdocs/create-adrenaline/app/code/community:/Applications/MAMP/htdocs/create-adrenaline/app/code/core:/Applications/MAMP/htdocs/create-adrenaline/lib:.:')  in /Applications/MAMP/htdocs/create-adrenaline/lib/Varien/Autoload.php on line 93
2014-11-15T13:33:59+00:00 ERR (3): Warning: include(Enterprise/PageCache/Model/Cache.php): failed to open stream: No such file or directory  in /Applications/MAMP/htdocs/create-adrenaline/lib/Varien/Autoload.php on line 93
2014-11-15T13:33:59+00:00 ERR (3): Warning: include(): Failed opening 'Enterprise/PageCache/Model/Cache.php' for inclusion (include_path='/Applications/MAMP/htdocs/create-adrenaline/app/code/local:/Applications/MAMP/htdocs/create-adrenaline/app/code/community:/Applications/MAMP/htdocs/create-adrenaline/app/code/core:/Applications/MAMP/htdocs/create-adrenaline/lib:.:')  in /Applications/MAMP/htdocs/create-adrenaline/lib/Varien/Autoload.php on line 93
2014-11-15T13:36:06+00:00 ERR (3): Warning: include(Enterprise/PageCache/Model/Cache.php): failed to open stream: No such file or directory  in /Applications/MAMP/htdocs/create-adrenaline/lib/Varien/Autoload.php on line 93
2014-11-15T13:36:06+00:00 ERR (3): Warning: include(): Failed opening 'Enterprise/PageCache/Model/Cache.php' for inclusion (include_path='/Applications/MAMP/htdocs/create-adrenaline/app/code/local:/Applications/MAMP/htdocs/create-adrenaline/app/code/community:/Applications/MAMP/htdocs/create-adrenaline/app/code/core:/Applications/MAMP/htdocs/create-adrenaline/lib:.:')  in /Applications/MAMP/htdocs/create-adrenaline/lib/Varien/Autoload.php on line 93
2014-11-15T13:51:09+00:00 ERR (3): Recoverable Error: Object of class Mage_Core_Model_Store could not be converted to string  in /Applications/MAMP/htdocs/create-adrenaline/app/design/frontend/create_adrenaline/default/template/page/html/head.phtml on line 28
2014-11-15T13:51:12+00:00 ERR (3): Recoverable Error: Object of class Mage_Core_Model_Store could not be converted to string  in /Applications/MAMP/htdocs/create-adrenaline/app/design/frontend/create_adrenaline/default/template/page/html/head.phtml on line 28
2014-11-15T13:51:20+00:00 ERR (3): Recoverable Error: Object of class Mage_Core_Model_Store could not be converted to string  in /Applications/MAMP/htdocs/create-adrenaline/app/design/frontend/create_adrenaline/default/template/page/html/head.phtml on line 28
2014-11-15T13:51:22+00:00 ERR (3): Recoverable Error: Object of class Mage_Core_Model_Store could not be converted to string  in /Applications/MAMP/htdocs/create-adrenaline/app/design/frontend/create_adrenaline/default/template/page/html/head.phtml on line 28
2014-11-15T13:51:24+00:00 ERR (3): Recoverable Error: Object of class Mage_Core_Model_Store could not be converted to string  in /Applications/MAMP/htdocs/create-adrenaline/app/design/frontend/create_adrenaline/default/template/page/html/head.phtml on line 28
2014-11-15T13:51:29+00:00 ERR (3): Warning: include(Enterprise/PageCache/Model/Cache.php): failed to open stream: No such file or directory  in /Applications/MAMP/htdocs/create-adrenaline/lib/Varien/Autoload.php on line 93
2014-11-15T13:51:29+00:00 ERR (3): Warning: include(): Failed opening 'Enterprise/PageCache/Model/Cache.php' for inclusion (include_path='/Applications/MAMP/htdocs/create-adrenaline/app/code/local:/Applications/MAMP/htdocs/create-adrenaline/app/code/community:/Applications/MAMP/htdocs/create-adrenaline/app/code/core:/Applications/MAMP/htdocs/create-adrenaline/lib:.:')  in /Applications/MAMP/htdocs/create-adrenaline/lib/Varien/Autoload.php on line 93
